assists,birth_date,bonus,bps,can_select,can_transact,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,clean_sheets_per_90,clearances_blocks_interceptions,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,defensive_contribution,defensive_contribution_per_90,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,expected_assists,expected_assists_per_90,expected_goal_involvements,expected_goal_involvements_per_90,expected_goals,expected_goals_conceded,expected_goals_conceded_per_90,expected_goals_per_90,first_name,form,form_rank,form_rank_type,goals_conceded,goals_conceded_per_90,goals_scored,has_temporary_code,ict_index,ict_index_rank,ict_index_rank_type,id,in_dreamteam,influence,influence_rank,influence_rank_type,known_name,minutes,news,news_added,now_cost,now_cost_rank,now_cost_rank_type,opta_code,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,points_per_game_rank,points_per_game_rank_type,price_change_calibrating,price_change_hourly_rate,price_change_locked_until,price_change_percent,price_change_projections,recoveries,red_cards,region,removed,saves,saves_per_90,scout_news_link,scout_risks,second_name,selected_by_percent,selected_rank,selected_rank_type,special,squad_number,starts,starts_per_90,status,tackles,team,team_code,team_join_date,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
0,2004-06-27,0,27,True,True,,,1,1.0,6,500040,,,0,0,0,0,0.6,246,89,6,6.0,,,0,2,2.5,2.5,6,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,Cristhian,6.0,58,26,0,0.0,0,False,1.5,210,82,11,False,14.4,119,55,,90,,,55,197,28,p500040,0,0,,0,,500040.jpg,6.0,58,26,False,-259,,-16.9,"[{'offset': 0, 'projected_percent': '-16.9', 'likelihood': -1}, {'offset': 1, 'projected_percent': '-27.1', 'likelihood': -2}, {'offset': 2, 'projected_percent': '-33.6', 'likelihood': -2}]",3,0,200.0,False,0,0.0,,[],Mosquera,5.8,65,26,False,,1,1.0,a,0,1,3,2025-07-24,0.0,562,198,6,13985,13985,37814,37814,1.1,1.1,Mosquera,0
0,2001-09-05,1,36,True,True,,,1,1.34,2,223340,2.0,,0,0,0,0,26.1,43,29,7,9.4,2.0,,0,3,3.2,3.2,9,0.08,0.11,0.72,0.97,0.64,0.06,0.08,0.86,Bukayo,9.0,28,14,0,0.0,1,False,10.2,12,9,12,False,42.8,21,11,,67,,,95,3,2,p223340,0,0,1.0,0,,223340.jpg,9.0,28,14,False,201,,18.1,"[{'offset': 0, 'projected_percent': '18.1', 'likelihood': 1}, {'offset': 1, 'projected_percent': '22.5', 'likelihood': 2}, {'offset': 2, 'projected_percent': '25.4', 'likelihood': 2}]",4,0,241.0,False,0,0.0,,[],Saka,10.4,38,15,False,,1,1.34,a,1,1,3,2018-11-28,33.0,25,12,9,79288,79288,29379,29379,0.9,0.9,Saka,0
0,1999-01-14,0,10,True,True,,,1,1.34,3,204480,1.0,,0,0,0,0,6.4,136,80,6,8.06,1.0,,0,3,2.6,2.6,3,0.08,0.11,0.15,0.2,0.07,0.06,0.08,0.09,Declan,3.0,108,50,0,0.0,0,False,1.5,213,96,13,False,6.8,193,77,,67,,,75,14,8,p204480,0,0,,0,,204480.jpg,3.0,108,50,False,-915,,-27.5,"[{'offset': 0, 'projected_percent': '-27.5', 'likelihood': -2}, {'offset': 1, 'projected_percent': '-39.8', 'likelihood': -2}, {'offset': 2, 'projected_percent': '-47.7', 'likelihood': -3}]",3,0,241.0,False,0,0.0,,[],Rice,17.0,22,7,False,,1,1.34,a,0,1,3,2023-07-15,2.0,187,95,3,32757,32757,136365,136365,0.4,0.4,Rice,0
0,1998-06-29,0,4,True,True,,,0,0.0,0,232413,,,0,0,0,0,1.8,192,112,2,12.86,3.0,,0,3,2.3,2.3,1,0.0,0.0,0.04,0.26,0.04,0.15,0.96,0.26,Eberechi,1.0,286,136,0,0.0,0,False,0.1,294,140,14,False,0.0,602,263,,14,,,65,39,26,p232413,0,0,,0,,232413.jpg,1.0,286,136,False,-238,,-103.1,"[{'offset': 0, 'projected_percent': '-103.1', 'likelihood': -5}, {'offset': 1, 'projected_percent': '-134.0', 'likelihood': -5}, {'offset': 2, 'projected_percent': '-153.9', 'likelihood': -5}]",2,0,241.0,False,0,0.0,,[],Eze,1.8,140,42,False,,0,0.0,a,0,1,3,2025-08-23,1.0,193,99,1,5215,5215,39486,39486,0.2,0.2,Eze,0
0,1998-12-17,3,41,True,True,,,1,1.2,1,184029,4.0,,1,-1,1,-1,41.5,13,11,8,9.6,,,0,3,2.3,2.3,11,0.1,0.12,0.31,0.37,0.21,0.06,0.07,0.25,Martin,11.0,12,7,0,0.0,1,False,12.3,6,5,15,False,50.6,6,4,,75,,,66,31,20,p184029,0,0,3.0,0,,184029.jpg,11.0,12,7,False,1364,,1.8,"[{'offset': 0, 'projected_percent': '1.8', 'likelihood': 1}, {'offset': 1, 'projected_percent': '12.8', 'likelihood': 1}, {'offset': 2, 'projected_percent': '19.9', 'likelihood': 1}]",4,0,161.0,False,0,0.0,,[],Ødegaard,11.5,34,12,False,,1,1.2,a,3,1,3,2021-08-20,31.0,27,13,11,262014,262014,31434,31434,1.7,1.7,Ødegaard,0
0,2002-03-10,0,8,True,True,,,0,0.0,0,248857,6.0,,-1,1,-1,1,43.1,11,9,2,8.18,,,0,3,2.3,2.3,1,0.04,0.16,0.04,0.16,0.0,0.15,0.61,0.0,Noni,1.0,283,133,0,0.0,0,False,5.3,70,37,16,False,9.4,171,67,,22,,,64,54,38,p248857,0,0,,0,,248857.jpg,1.0,283,133,False,-43,,-3.2,"[{'offset': 0, 'projected_percent': '-3.2', 'likelihood': -1}, {'offset': 1, 'projected_percent': '-22.2', 'likelihood': -2}, {'offset': 2, 'projected_percent': '-34.4', 'likelihood': -2}]",2,0,241.0,False,0,0.0,,[],Madueke,0.3,297,100,False,,0,0.0,a,0,1,3,2025-07-18,0.0,599,259,1,1187,1187,7238,7238,0.2,0.2,Madueke,0
0,1996-06-22,0,5,True,True,,,0,0.0,0,195384,,,0,0,0,0,1.2,216,121,2,12.86,,,0,3,2.2,2.2,1,0.02,0.13,0.16,1.03,0.14,0.15,0.96,0.9,Mikel,1.0,274,126,0,0.0,0,False,1.9,186,83,17,False,3.6,233,103,,14,,,60,64,42,p195384,0,0,,0,,195384.jpg,1.0,274,126,False,-46,,-102.6,"[{'offset': 0, 'projected_percent': '-102.6', 'likelihood': -5}, {'offset': 1, 'projected_percent': '-120.1', 'likelihood': -5}, {'offset': 2, 'projected_percent': '-131.3', 'likelihood': -5}]",2,0,200.0,False,0,0.0,,[],Merino Zazón,0.6,241,81,False,,0,0.0,a,0,1,3,2024-08-27,14.0,73,40,1,2190,2190,13950,13950,0.2,0.2,Merino,0
0,2001-06-18,0,0,True,True,,,0,0.0,0,444145,,,-1,1,-1,1,0.0,603,263,0,0.0,,,0,3,2.3,2.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Gabriel,0.0,599,262,0,0.0,0,False,0.0,603,263,18,False,0.0,600,261,Gabriel Martinelli,0,,,64,55,39,p444145,0,0,,0,,444145.jpg,0.0,599,262,False,-33,,-18.5,"[{'offset': 0, 'projected_percent': '-18.5', 'likelihood': -1}, {'offset': 1, 'projected_percent': '-40.5', 'likelihood': -3}, {'offset': 2, 'projected_percent': '-54.6', 'likelihood': -3}]",0,0,30.0,False,0,0.0,,[],Martinelli Silva,0.2,342,124,False,,0,0.0,a,0,1,3,2019-07-15,0.0,600,260,0,1180,1180,6356,6356,0.0,0.0,Martinelli,0
0,1999-02-02,0,3,True,True,,,0,0.0,0,481655,,,0,0,0,0,2.3,178,104,3,12.27,,,0,3,2.0,2.0,1,0.02,0.08,0.02,0.08,0.0,0.15,0.61,0.0,Martín,1.0,259,117,0,0.0,0,False,0.6,253,114,19,False,3.8,228,100,,22,,,55,187,115,p481655,0,0,,0,,481655.jpg,1.0,259,117,False,-104,,-87.6,"[{'offset': 0, 'projected_percent': '-87.6', 'likelihood': -3}, {'offset': 1, 'projected_percent': '-111.8', 'likelihood': -5}, {'offset': 2, 'projected_percent': '-127.3', 'likelihood': -5}]",2,0,200.0,False,0,0.0,,[],Zubimendi Ibáñez,1.0,199,65,False,,0,0.0,a,1,1,3,2025-07-06,0.0,556,233,1,1438,1438,18218,18218,0.2,0.2,Zubimendi,0
0,2009-12-31,0,0,True,True,,,0,0.0,0,616077,,,-1,1,-1,1,0.0,542,229,0,0.0,,,0,3,1.9,1.9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Max,0.0,539,226,0,0.0,0,False,0.0,545,227,20,False,0.0,529,220,,0,,,54,225,139,p616077,0,0,,0,,616077.jpg,0.0,539,226,False,-4,,-5.1,"[{'offset': 0, 'projected_percent': '-5.1', 'likelihood': -1}, {'offset': 1, 'projected_percent': '-11.4', 'likelihood': -1}, {'offset': 2, 'projected_percent': '-15.5', 'likelihood': -1}]",0,0,241.0,False,0,0.0,,[],Dowman,0.1,437,174,False,,0,0.0,a,0,1,3,2025-07-22,0.0,510,205,0,410,410,2155,2155,0.0,0.0,Dowman,0
0,2007-03-21,0,0,True,True,,,0,0.0,0,499175,,,0,0,0,0,0.0,575,247,0,0.0,,,0,3,2.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ethan,0.0,571,245,0,0.0,0,False,0.0,575,245,22,False,0.0,562,239,,0,,,55,196,122,p499175,0,0,,0,,499175.jpg,0.0,571,245,False,0,,-85.2,"[{'offset': 0, 'projected_percent': '-85.2', 'likelihood': -3}, {'offset': 1, 'projected_percent': '-85.2', 'likelihood': -3}, {'offset': 2, 'projected_percent': '-85.2', 'likelihood': -3}]",0,0,241.0,False,0,0.0,,[],Nwaneri,0.0,576,244,False,,0,0.0,a,0,1,3,2022-09-17,0.0,561,237,0,71,71,296,296,0.0,0.0,Nwaneri,0
0,2000-05-30,0,0,True,True,,,0,0.0,0,438098,,,0,0,0,0,0.0,561,239,0,0.0,,,0,3,2.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fábio,0.0,559,237,0,0.0,0,False,0.0,562,237,23,False,0.0,548,231,Fábio Vieira,0,,,55,163,101,p438098,0,0,,0,,438098.jpg,0.0,559,237,False,-1,,-61.8,"[{'offset': 0, 'projected_percent': '-61.8', 'likelihood': -3}, {'offset': 1, 'projected_percent': '-88.8', 'likelihood': -3}, {'offset': 2, 'projected_percent': '-106.0', 'likelihood': -5}]",0,0,173.0,False,0,0.0,,[],Ferreira Vieira,0.0,587,250,False,,0,0.0,a,0,1,3,2022-06-21,0.0,540,224,0,72,72,194,194,0.0,0.0,Fábio Vieira,0
0,1999-12-10,0,0,True,True,,,0,0.0,0,200641,,,0,0,0,0,0.0,552,232,0,0.0,,,0,3,2.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Reiss,0.0,547,229,0,0.0,0,False,0.0,553,230,24,False,0.0,537,223,,0,,,55,134,83,p200641,0,0,,0,,200641.jpg,0.0,547,229,False,0,,-46.1,"[{'offset': 0, 'projected_percent': '-46.1', 'likelihood': -3}, {'offset': 1, 'projected_percent': '-46.1', 'likelihood': -3}, {'offset': 2, 'projected_percent': '-46.1', 'likelihood': -3}]",0,0,241.0,False,0,0.0,,[],Nelson,0.0,586,249,False,,0,0.0,a,0,1,3,2017-07-12,0.0,525,213,0,60,60,148,148,0.0,0.0,Nelson,0
0,1998-06-04,0,0,True,True,,,0,0.0,0,224117,,,-1,1,-1,1,0.0,612,71,0,0.0,,,0,4,2.3,2.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Viktor,0.0,608,70,0,0.0,0,False,0.0,612,71,25,False,0.0,611,71,,0,,,74,22,8,p224117,0,0,2.0,0,,224117.jpg,0.0,608,70,False,-2021,,-23.0,"[{'offset': 0, 'projected_percent': '-23.0', 'likelihood': -2}, {'offset': 1, 'projected_percent': '-61.9', 'likelihood': -3}, {'offset': 2, 'projected_percent': '-86.8', 'likelihood': -3}]",0,0,206.0,False,0,0.0,,[],Gyökeres,6.9,59,10,False,,0,0.0,a,0,1,3,2025-07-26,0.0,612,71,0,8050,8050,203918,203918,0.0,0.0,Gyökeres,0
0,1999-06-11,0,34,True,True,,,1,1.0,2,219847,,,0,0,0,0,13.2,98,9,2,2.0,,,0,4,2.4,2.4,6,0.03,0.03,0.29,0.29,0.26,0.2,0.2,0.26,Kai,6.0,64,5,0,0.0,1,False,7.5,38,7,26,False,37.2,35,5,,90,,,75,15,6,p219847,0,0,,0,,219847.jpg,6.0,64,5,False,942,,67.9,"[{'offset': 0, 'projected_percent': '67.9', 'likelihood': 3}, {'offset': 1, 'projected_percent': '88.6', 'likelihood': 3}, {'offset': 2, 'projected_percent': '101.8', 'likelihood': 5}]",0,0,80.0,False,0,0.0,,[],Havertz,7.4,56,8,False,,1,1.0,a,0,1,3,2023-06-28,25.0,38,10,6,166993,166993,32513,32513,0.8,0.8,Havertz,0
0,1997-04-03,0,0,True,True,,,0,0.0,0,205651,,,0,0,0,0,0.0,588,65,0,0.0,,,0,4,2.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Gabriel,0.0,584,64,0,0.0,0,False,0.0,588,65,27,False,0.0,582,62,Gabriel Jesus,0,,,60,68,17,p205651,0,0,,0,,205651.jpg,0.0,584,64,False,-34,,-76.6,"[{'offset': 0, 'projected_percent': '-76.6', 'likelihood': -3}, {'offset': 1, 'projected_percent': '-99.8', 'likelihood': -4}, {'offset': 2, 'projected_percent': '-114.7', 'likelihood': -5}]",0,0,30.0,False,0,0.0,,[],Fernando de Jesus,0.3,290,50,False,,0,0.0,a,0,1,3,2022-07-04,0.0,578,64,0,1729,1729,6526,6526,0.0,0.0,G.Jesus,0
0,1997-10-23,0,0,True,True,,,0,0.0,0,199798,,,0,0,0,0,0.0,356,147,0,0.0,,,0,2,1.7,1.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ezri,0.0,365,138,0,0.0,0,False,0.0,369,144,31,False,0.0,352,143,,0,,,45,435,99,p199798,0,0,,0,,199798.jpg,0.0,365,138,False,-1049,,-80.7,"[{'offset': 0, 'projected_percent': '-80.7', 'likelihood': -3}, {'offset': 1, 'projected_percent': '-102.7', 'likelihood': -5}, {'offset': 2, 'projected_percent': '-116.8', 'likelihood': -5}]",0,0,241.0,False,0,0.0,,[],Konsa Ngoyo,10.9,35,12,False,,0,0.0,a,0,1,3,2026-08-21,0.0,284,121,0,43278,43278,206723,206723,0.0,0.0,Konsa,0
0,1997-11-16,0,0,True,True,75.0,75.0,0,0.0,0,208706,5.0,,-1,1,-1,1,0.0,610,268,0,0.0,,,0,3,1.8,1.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bruno,0.0,606,267,0,0.0,0,False,0.0,610,268,452,False,0.0,608,267,Bruno Guimarães,0,Thigh injury - 75% chance of playing,2026-08-20T17:00:08.846118Z,69,30,19,p208706,0,0,4.0,0,,208706.jpg,0.0,606,267,False,-865,,-3.7,"[{'offset': 0, 'projected_percent': '-3.7', 'likelihood': -1}, {'offset': 1, 'projected_percent': '-25.8', 'likelihood': -2}, {'offset': 2, 'projected_percent': '-40.0', 'likelihood': -3}]",0,0,30.0,False,0,0.0,https://www.arsenal.com/news/every-word-from-mikel-artetas-pre-coventry-presser-agLtL1y0uKj3,[],Guimarães Rodriguez Moura,2.8,109,33,False,,0,0.0,d,0,1,3,2026-08-08,0.0,609,267,0,779,779,113144,113144,0.0,0.0,Bruno G.,0
1,2002-01-30,0,30,True,True,,,1,1.2,2,439509,3.0,,0,0,0,0,39.8,16,14,6,7.2,,,0,3,2.3,2.3,6,0.14,0.17,0.33,0.4,0.19,0.06,0.07,0.23,Christos,6.0,63,25,0,0.0,0,False,8.7,24,15,557,False,17.0,102,35,,75,,,65,41,28,p439509,0,0,,0,,439509.jpg,6.0,63,25,False,1094,,82.6,"[{'offset': 0, 'projected_percent': '82.6', 'likelihood': 3}, {'offset': 1, 'projected_percent': '106.6', 'likelihood': 5}, {'offset': 2, 'projected_percent': '122.0', 'likelihood': 5}]",3,0,83.0,False,0,0.0,,[],Tzolis,26.0,11,5,False,,1,1.2,a,1,1,3,2026-07-23,30.0,29,15,6,208043,208043,46298,46298,0.9,0.9,Tzolis,0
0,1992-09-02,0,0,True,True,,,0,0.0,0,98980,,,0,0,0,0,0.0,440,50,0,0.0,,,0,1,2.6,2.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Emiliano,0.0,444,61,0,0.0,0,False,0.0,449,61,28,False,0.0,433,61,Emiliano Martínez,0,,,50,233,7,p98980,0,0,,0,,98980.jpg,0.0,444,61,False,-211,,-47.5,"[{'offset': 0, 'projected_percent': '-47.5', 'likelihood': -3}, {'offset': 1, 'projected_percent': '-59.3', 'likelihood': -3}, {'offset': 2, 'projected_percent': '-66.9', 'likelihood': -3}]",0,0,10.0,False,0,0.0,,[],Martínez Romero,4.1,80,11,False,,0,0.0,a,0,2,7,2020-09-16,0.0,381,50,0,11693,11693,50178,50178,0.0,0.0,Martinez,0
